,name,job,tool,runtime,timesaved,date
13031,Designer63,HISILICON-1023480-H60LRT7V100-BRD-26_QA,Design View,879,164751,Tue Dec 11 04:02:30 2018
13032,Designer63,HISILICON-1023480-H60LRT7V100-BRD-27,Check UltraFLEX Pogo Placement,2,171442,Tue Dec 11 04:14:44 2018
13033,Designer63,HISILICON-1023480-H60LRT7V100-BRD-36_QA,Extract Decaps Scheme,6,103931,Sun Dec 16 21:39:37 2018
13034,Designer63,HISILICON-1023480-H60LRT7V100-BRD-36_QA,Extract Decaps Scheme,6,110110,Sun Dec 16 22:01:16 2018
13035,Designer63,HISILICON-1023480-H60LRT7V100-BRD-36_QA,Extract Decaps Scheme,8,102721,Sun Dec 16 21:27:29 2018
13036,Designer63,HISILICON-1023480-H60LRT7V100-BRD-37_QA,Check BGA Pin Locations,30,114854,Sun Dec 16 22:49:24 2018
13037,Designer63,HISILICON-1023480-H60LRT7V100-BRD-37_QA,Check BGA Pin Locations,36,115050,Sun Dec 16 22:51:26 2018
13038,Designer63,HISILICON-1023480-H60LRT7V100-BRD-37_QA,Check BGA Pin Locations,8,114935,Sun Dec 16 22:49:43 2018
13039,Designer63,HISILICON-1023480-H60LRT7V100-BRD-37_QA,Check BGA Pin Locations,8,114952,Sun Dec 16 22:50:00 2018
13040,Designer63,HISILICON-1023480-H60LRT7V100-BRD-37_QA,Check BGA Pin Locations,9,115019,Sun Dec 16 22:50:28 2018
13041,Designer63,HISILICON-1023480-H60LRT7V100-BRD-37_QA,Check UltraFLEX Pogo Placement,3,114841,Sun Dec 16 22:48:44 2018
13042,Designer63,HISILICON-1023480-H60LRT7V100-BRD-38_QA,Check Airgap Hole To Hole,463,112930,Mon Dec 17 22:37:13 2018
13043,Designer63,HISILICON-1023480-H60LRT7V100-BRD-51.brd_QA,Check UltraFLEX Pogo Placement,3,115731,Tue Jan  1 22:57:34 2019
13044,Designer63,HISILICON-1023480-H60LRT7V100-BRD-51.brd_QA,Design View,12,144207,Wed Jan  2 01:42:19 2019
13045,Designer63,HISILICON-1023480-H60LRT7V100-BRD-51.brd_QA,Design View,23,115644,Tue Jan  1 22:57:08 2019
13046,Designer63,HISILICON-1023480-H60LRT7V100-BRD-51.brd_QA,Design View,366,143550,Wed Jan  2 01:41:56 2019
13047,Designer63,HISILICON-1023480-H60LRT7V100-BRD-51.brd_QA,Design View,695,115850,Tue Jan  1 23:10:25 2019
13048,Designer63,HISILICON-1023480-H60LRT7V100-BRD-51.brd_QA,Padstack Definition View,183,143155,Wed Jan  2 01:34:58 2019
13049,Designer63,HISILICON-1023480-H60LRT7V100-BRD-51.brd_QA,Padstack Definition View,2691,134639,Wed Jan  2 01:31:30 2019
13050,Designer63,HISILICON-1023480-H60LRT7V100-BRD-51.brd_QA,Padstack Definition View,4966,122337,Wed Jan  2 00:46:23 2019
13051,Designer63,HISILICON-1023480-H60LRT7V100-BRD-56.brd_QA,Check Design Important,499,140057,Thu Jan  3 01:09:17 2019
13052,Designer63,HISILICON-1023480-H60LRT7V100-BRD-63.brd_QA,Check Sense Topology UltraFLEX,5049,161118,Sat Jan  5 04:35:27 2019
13053,Designer63,HISILICON-1023480-H60LRT7V100-BRD-68,Design View,204,153156,Wed Jan  9 02:35:20 2019
13054,Designer63,HISILICON-1023480-H60LRT7V100-BRD-68.brd_QA,Design View,6063,161309,Wed Jan  9 04:54:13 2019
13055,Designer63,HISILICON-1023480-H60LRT7V100-BRD-80-R2.brd_QA,Check Sense Topology UltraFLEX,1998,170801,Wed Jan 16 04:41:19 2019
13056,Designer63,HISILICON-1023480-H60LRT7V100-BRD-92.brd_QA,Check Airgap Hole To Hole,50,112459,Sun Jan 20 22:25:49 2019
13057,Designer63,HISILICON-1023480-H60LRT7V100-BRD-92.brd_QA,Check Airgap Hole To Hole,83,112604,Sun Jan 20 22:27:26 2019
13058,Designer63,HISILICON-1023480-H60LRT7V100-BRD-92.brd_QA,Check Sense Topology UltraFLEX,1077,123857,Sun Jan 20 23:56:53 2019
13059,Designer63,HISILICON-1023480-H60LRT7V100-BRD-92.brd_QA,Check Sense Topology UltraFLEX,3845,113309,Sun Jan 20 23:37:14 2019
13060,Designer63,HISILICON-1023480-H60LRT7V100-BRD-92.brd_QA,Design View,287,134420,Mon Jan 21 00:49:06 2019
13061,Designer63,HISILICON-1023480-H60LRT7V100-BRD-94.brd_QA_constraints,Waive Connected Same Net DRC,15,181218,Mon Jan 21 05:12:33 2019
13062,Designer63,HISILICON-1023480-H60LRT7V100-BRD-97.brd_QA,Check Sense Topology UltraFLEX,18,192957,Mon Jan 21 06:30:15 2019
13063,Designer63,HISILICON-1023480-H60LRT7V100-BRD-97.brd_QA,Check Sense Topology UltraFLEX,200,192609,Mon Jan 21 06:29:29 2019
13064,Designer63,HISILICON-1023480-H60LRT7V100-BRD-97.brd_QA,Check Sense Topology UltraFLEX,78,192026,Mon Jan 21 06:21:43 2019
13065,Designer63,HISILICON-1023480-H60LRT7V100-BRD-97.brd_QA,Check Sense Topology UltraFLEX,90,192224,Mon Jan 21 06:23:54 2019
13066,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98-R1.brd_QA,Check Signal Stub,1,145255,Tue Jan 22 01:52:56 2019
13067,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,119,104702,Mon Jan 21 21:49:01 2019
13068,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,183,111919,Mon Jan 21 22:22:22 2019
13069,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,207,232446,Mon Jan 21 10:28:13 2019
13070,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,2561,220645,Mon Jan 21 09:49:25 2019
13071,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,316,112515,Mon Jan 21 22:30:30 2019
13072,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,322,095743,Mon Jan 21 21:03:05 2019
13073,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,337,230337,Mon Jan 21 10:09:14 2019
13074,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,43,105309,Mon Jan 21 21:53:52 2019
13075,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,61,213448,Mon Jan 21 08:35:49 2019
13076,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,672,214356,Mon Jan 21 08:55:08 2019
13077,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,742,103435,Mon Jan 21 21:46:57 2019
13078,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,84,220328,Mon Jan 21 09:04:52 2019
13079,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,86,110508,Mon Jan 21 22:06:34 2019
13080,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,86,231420,Mon Jan 21 10:15:46 2019
13081,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,92,220459,Mon Jan 21 09:06:31 2019
13082,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,DRC View,951,101612,Mon Jan 21 21:32:03 2019
13083,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,Waive Connected Same Net DRC,7,213428,Mon Jan 21 08:34:35 2019
13084,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,Waive Connected Same Net DRC,8,213415,Mon Jan 21 08:34:23 2019
13085,Designer63,HISILICON-1023480-H60LRT7V100-BRD-98.brd_QA,Waive Connected Same Net DRC,9,213401,Mon Jan 21 08:34:10 2019
13086,designer63,Hisilicon-1023580-Hi1980V100_FTA-93K-BRD-40,Reduce Thermal Relief,103,105457,Thu Jan 31 21:56:40 2019
13087,designer63,Hisilicon-1023580-Hi1980V100_FTA-93K-BRD-46,Back Drill Nets Info,0,192209,Fri Feb  1 06:22:09 2019
13088,designer63,Hisilicon-1023580-Hi1980V100_FTA-93K-BRD-46,Design View,157,202122,Fri Feb  1 07:23:59 2019
13089,Designer63,HISILICON-1025310-SA8211GV100-93K-BRD-7.brd_QA,Check 93K Pogo (Template) Connections,45,095051,Mon Mar  4 20:51:36 2019
13090,Designer63,HISILICON-1025310-SA8211GV100-93K-BRD-7.brd_QA,Check 93K Pogo (Template) Connections,7,095831,Mon Mar  4 20:58:38 2019
13091,Designer63,HISILICON-1026920-HI3690V200_FTX4-BRD-91-Routing,DRC View,1010,220141,Fri Apr 19 10:18:31 2019
13092,Designer63,HISILICON-1026920-HI3690V200_FTX4-BRD-91-Routing,DRC View,179,223256,Fri Apr 19 10:35:55 2019
13093,Designer63,HISILICON-1026920-HI3690V200_FTX4-BRD-91-Routing,DRC View,712,221915,Fri Apr 19 10:31:07 2019
13094,Designer63,HISILICON-1027350_FTX12-brd-27.brd_QA,Check Airgap Shape To Shape,59,201758,Thu May  2 08:18:56 2019
13095,Designer63,HISILICON-1027350_FTX12-brd-27.brd_QA,Check Hole On Shape Boundary,1258,182840,Thu May  2 06:49:37 2019
13096,Designer63,HISILICON-1027350_FTX12-brd-27.brd_QA,DRC View,1262,093746,Thu May  2 21:58:48 2019
13097,Designer63,HISILICON-1027350_FTX12-brd-27.brd_QA,DRC View,26,100419,Thu May  2 22:04:45 2019
13098,Designer63,HISILICON-1027350_FTX12-brd-27.brd_QA,DRC View,37,100129,Thu May  2 22:02:06 2019
13099,Designer63,HISILICON-1027350_FTX12-brd-27.brd_QA,DRC View,37,100326,Thu May  2 22:04:03 2019
13100,Designer63,HISILICON-1027350_FTX12-brd-27.brd_QA,DRC View,50,100221,Thu May  2 22:03:11 2019
13101,Designer63,HISILICON-1027350_FTX12-brd-27.brd_QA,DRC View,54,100030,Thu May  2 22:01:24 2019
13102,Designer63,HISILICON-1027350_FTX12-brd-30-Routing.brd_QA_zafar,DRC View,124,155821,Fri May  3 04:00:25 2019
13103,Designer63,HISILICON-1027350_FTX12-brd-30-Routing.brd_QA_zafar,DRC View,160,155329,Fri May  3 03:56:09 2019
13104,Designer63,HISILICON-1027350_FTX12-brd-30-Routing.brd_QA_zafar,DRC View,187,150339,Fri May  3 03:06:46 2019
13105,Designer63,HISILICON-1027350_FTX12-brd-30-Routing.brd_QA_zafar,DRC View,591,153936,Fri May  3 03:49:27 2019
13106,Designer63,HISILICON-1027350_FTX12-brd-30-Routing.brd_QA_zafar,DRC View,62,155656,Fri May  3 03:57:58 2019
13107,Designer63,Inphi-1022050-10x13 Porrima B0 board-BRD-98_QA,DRC View,163,152218,Fri Dec 14 02:25:01 2018
13108,Designer63,Inphi-1022050-10x13 Porrima B0 board-BRD-98_QA,DRC View,541,152555,Fri Dec 14 02:34:56 2018
13109,Designer63,Inphi-1022050-10x13 Porrima B0 board-BRD-98_QA,Waive Connected Same Net DRC,2,152157,Fri Dec 14 02:21:59 2018
13110,Designer63,Inphi-1022050-10x13 Porrima B0 board-BRD-98_QA,Waive Connected Same Net DRC,3,152135,Fri Dec 14 02:21:38 2018
13111,Designer63,Inphi-1022050-10x13 Porrima B0 board-BRD-98_QA,Waive Connected Same Net DRC,3,152149,Fri Dec 14 02:21:52 2018
13112,Designer63,INPHI-1022060-PORIMA-BRD-65-DRC-Closing,Waive Connected Same Net DRC,4,120552,Tue Jan  8 23:05:57 2019
13113,Designer63,INPHI-1022060-PORIMA-BRD-67,Create Drill Chart Fields,72,112150,Tue Jan  8 22:23:02 2019
13114,Designer63,INPHI-1022060-PORIMA-BRD-69,Design View,44,101321,Tue Jan  8 21:14:05 2019
13115,Designer63,INPHI-1022060-PORIMA-BRD-70,Design View,1307,091904,Tue Jan  8 20:40:51 2019
13116,Designer63,INPHI-1022060-PORIMA-BRD-72.brd_QA,Design View,233,111354,Tue Jan  8 22:17:48 2019
13117,Designer63,INPHI-1022060-PORIMA-BRD-73,Create Drill Chart Fields,50,113444,Tue Jan  8 22:35:34 2019
13118,Designer63,INPHI-1022060-PORIMA-BRD-73.brd_QA,Design View,373,113802,Tue Jan  8 22:44:15 2019
13119,Designer63,INPHI-1022060-PORIMA-BRD-73.brd_QA,Waive Connected Same Net DRC,5,114435,Tue Jan  8 22:44:40 2019
13120,Designer63,INPHI-1022060-PORIMA-BRD-74.brd_QA_FINALDRC,DRC View,125,125749,Tue Jan  8 23:59:54 2019
13121,Designer63,INPHI-1022060-PORIMA-BRD-74.brd_QA_FINALDRC,DRC View,302,124240,Tue Jan  8 23:47:42 2019
13122,Designer63,INPHI-1022060-PORIMA-BRD-74.brd_QA_FINALDRC,DRC View,453,123322,Tue Jan  8 23:40:55 2019
13123,Designer63,INPHI-1022060-PORIMA-BRD-74.brd_QA_FINALDRC,DRC View,545,124837,Tue Jan  8 23:57:42 2019
13124,Designer63,INPHI-1022060-PORIMA-BRD-74.brd_QA_FINALDRC,DRC View,653,130000,Wed Jan  9 00:10:53 2019
13125,Designer63,INPHI-1022060-PORIMA-BRD-74.brd_QA_FINALDRC,Waive Connected Same Net DRC,6,121637,Tue Jan  8 23:16:43 2019
13126,Designer63,INPHI-1024470-SYRMA TEST CHIP ATE DIB-BRD-92.brd_QA_finaldrc,DRC View,324,150021,Thu Feb 14 02:05:45 2019
